time,fuel_level,vehicle_speed,engine_speed
1.52E+12,46.488375,46.488375,1930
1.52E+12,45.81640625,45.81640625,1910
1.52E+12,47.43240625,47.43240625,1964
1.52E+12,48.5844375,48.5844375,1997
1.52E+12,47.97646875,47.97646875,1989
1.52E+12,46.7845,46.7845,1915
1.52E+12,45.45653125,45.45653125,1851
1.52E+12,43.92853125,43.92853125,1777
1.52E+12,41.4485625,41.4485625,1686
1.52E+12,37.92059375,37.92059375,1526
1.52E+12,33.89659375,33.89659375,899
1.52E+12,24.880625,24.880625,898
1.52E+12,10.552625,10.552625,898
1.52E+12,2.728625,2.728625,901
1.52E+12,0.000625,0.000625,907
1.52E+12,0.000625,0.000625,900
1.52E+12,0.000625,0.000625,904
1.52E+12,0.000625,0.000625,901
1.52E+12,0.000625,0.000625,902
1.52E+12,0.000625,0.000625,901
1.52E+12,0.000625,0.000625,909
1.52E+12,0.000625,0.000625,899
1.52E+12,0.000625,0.000625,901
1.52E+12,0.000625,0.000625,904
1.52E+12,0.000625,0.000625,901
1.52E+12,0.000625,0.000625,903
1.52E+12,0.000625,0.000625,897
1.52E+12,0.000625,0.000625,901
1.52E+12,0.000625,0.000625,901
1.52E+12,0.000625,0.000625,904
1.52E+12,0.000625,0.000625,902
1.52E+12,0.000625,0.000625,907
1.52E+12,9.760625,9.760625,1315
1.52E+12,12.56865625,12.56865625,1012
1.52E+12,15.86465625,15.86465625,1013
1.52E+12,16.52865625,16.52865625,1071
1.52E+12,20.06465625,20.06465625,1336
1.52E+12,27.1206875,27.1206875,1838
1.52E+12,28.0886875,28.0886875,959
1.52E+12,29.80871875,29.80871875,1151
1.52E+12,29.02471875,29.02471875,1099
1.52E+12,26.64875,26.64875,895
1.52E+12,21.57675,21.57675,907
1.52E+12,23.55278125,23.55278125,996
1.52E+12,26.21678125,26.21678125,1116
1.52E+12,26.00878125,26.00878125,1050
1.52E+12,23.3928125,23.3928125,884
1.52E+12,15.3048125,15.3048125,905
1.52E+12,2.3848125,2.3848125,899
1.52E+12,0.0008125,0.0008125,904
1.52E+12,0.0008125,0.0008125,905
1.52E+12,0.0008125,0.0008125,901
1.52E+12,0.0008125,0.0008125,903
1.52E+12,0.0008125,0.0008125,901
1.52E+12,0.0008125,0.0008125,901
1.52E+12,0.0008125,0.0008125,905
1.52E+12,0.0008125,0.0008125,900
1.52E+12,0.0008125,0.0008125,904
1.52E+12,0.0008125,0.0008125,906
1.52E+12,0.0008125,0.0008125,906
1.52E+12,0.0008125,0.0008125,905
1.52E+12,0.0008125,0.0008125,901
1.52E+12,0.0008125,0.0008125,902
1.52E+12,0.0008125,0.0008125,901
1.52E+12,0.0008125,0.0008125,898
1.52E+12,0.0008125,0.0008125,898
1.52E+12,0.0008125,0.0008125,901
1.52E+12,0.0008125,0.0008125,904
1.52E+12,0.0008125,0.0008125,907
1.52E+12,1.0248125,1.0248125,970
1.52E+12,11.7048125,11.7048125,1548
1.52E+12,14.07284375,14.07284375,967
1.52E+12,21.44084375,21.44084375,1477
1.52E+12,30.18484375,30.18484375,2021
1.52E+12,34.456875,34.456875,901
1.52E+12,33.46490625,33.46490625,1371
1.52E+12,34.08890625,34.08890625,1434
1.52E+12,34.6409375,34.6409375,1412
1.52E+12,32.5529375,32.5529375,1337
1.52E+12,30.30496875,30.30496875,1233
1.52E+12,25.91296875,25.91296875,859
1.52E+12,23.408,23.408,897
1.52E+12,23.776,23.776,1020
1.52E+12,29.88803125,29.88803125,1269
1.52E+12,34.81603125,34.81603125,1450
1.52E+12,35.35203125,35.35203125,1482
1.52E+12,32.8880625,32.8880625,1269
1.52E+12,23.5120625,23.5120625,891
1.52E+12,22.93609375,22.93609375,936
1.52E+12,24.60009375,24.60009375,1061
1.52E+12,27.35209375,27.35209375,1127
1.52E+12,25.896125,25.896125,880
1.52E+12,17.888125,17.888125,894
1.52E+12,17.58415625,17.58415625,901
1.52E+12,19.24015625,19.24015625,1236
1.52E+12,19.05615625,19.05615625,1183
1.52E+12,16.1521875,16.1521875,995
1.52E+12,14.3761875,14.3761875,900
1.52E+12,15.1921875,15.1921875,993
1.52E+12,14.3681875,14.3681875,910
1.52E+12,10.0961875,10.0961875,902
1.52E+12,6.33621875,6.33621875,974
1.52E+12,10.69621875,10.69621875,1003
1.52E+12,16.84821875,16.84821875,1101
1.52E+12,19.05621875,19.05621875,1272
1.52E+12,20.80025,20.80025,1346
1.52E+12,18.94425,18.94425,1147
1.52E+12,14.83225,14.83225,920
1.52E+12,13.32828125,13.32828125,866
1.52E+12,14.84828125,14.84828125,1005
1.52E+12,15.25628125,15.25628125,981
1.52E+12,17.23228125,17.23228125,1127
1.52E+12,18.3363125,18.3363125,1154
1.52E+12,19.2963125,19.2963125,1307
1.52E+12,26.6323125,26.6323125,1807
1.52E+12,28.43234375,28.43234375,979
1.52E+12,28.24034375,28.24034375,1102
1.52E+12,26.22434375,26.22434375,1054
1.52E+12,22.840375,22.840375,929
1.52E+12,21.712375,21.712375,896
1.52E+12,20.792375,20.792375,869
1.52E+12,18.88040625,18.88040625,896
1.52E+12,19.52840625,19.52840625,832
1.52E+12,22.16040625,22.16040625,938
1.52E+12,25.3124375,25.3124375,1075
1.52E+12,28.5924375,28.5924375,1135
1.52E+12,27.43246875,27.43246875,1152
1.52E+12,30.92846875,30.92846875,1301
1.52E+12,30.9925,30.9925,1236
1.52E+12,31.9525,31.9525,1344
1.52E+12,34.62453125,34.62453125,1454
1.52E+12,37.0405625,37.0405625,1543
1.52E+12,36.8165625,36.8165625,1529
1.52E+12,37.30459375,37.30459375,1545
1.52E+12,38.49659375,38.49659375,1580
1.52E+12,35.928625,35.928625,1488
1.52E+12,33.00065625,33.00065625,1342
1.52E+12,31.21665625,31.21665625,1278
1.52E+12,28.8646875,28.8646875,1168
1.52E+12,26.8166875,26.8166875,1072
1.52E+12,26.75271875,26.75271875,1117
1.52E+12,28.39271875,28.39271875,1199
1.52E+12,28.41675,28.41675,1177
1.52E+12,28.63275,28.63275,1169
1.52E+12,28.08878125,28.08878125,1067
1.52E+12,23.81678125,23.81678125,1009
1.52E+12,22.22478125,22.22478125,929
1.52E+12,17.1608125,17.1608125,907
1.52E+12,14.3288125,14.3288125,872
1.52E+12,14.9688125,14.9688125,748
1.52E+12,12.4248125,12.4248125,683
1.52E+12,12.36884375,12.36884375,532
1.52E+12,13.92884375,13.92884375,894
1.52E+12,14.98484375,14.98484375,839
1.52E+12,12.94484375,12.94484375,904
1.52E+12,9.424875,9.424875,903
1.52E+12,4.504875,4.504875,901
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,896
1.52E+12,0.000875,0.000875,894
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,903
1.52E+12,0.000875,0.000875,903
1.52E+12,0.000875,0.000875,897
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,893
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,898
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,903
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,903
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,899
1.52E+12,0.000875,0.000875,903
1.52E+12,0.000875,0.000875,902
1.52E+12,0.000875,0.000875,903
1.52E+12,0.000875,0.000875,905
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,904
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,900
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,904
1.52E+12,0.000875,0.000875,901
1.52E+12,0.000875,0.000875,909
1.52E+12,0.000875,0.000875,897
1.52E+12,8.568875,8.568875,1067
1.52E+12,11.288875,11.288875,1388
1.52E+12,15.584875,15.584875,1248
1.52E+12,14.984875,14.984875,896
1.52E+12,18.69690625,18.69690625,1234
1.52E+12,23.40890625,23.40890625,1541
1.52E+12,26.4089375,26.4089375,1650
1.52E+12,24.6329375,24.6329375,1574
1.52E+12,23.2729375,23.2729375,1523
1.52E+12,26.74496875,26.74496875,1762
1.52E+12,28.72896875,28.72896875,1814
1.52E+12,28.784,28.784,1841
1.52E+12,28.064,28.064,1816
1.52E+12,29.53603125,29.53603125,1910
1.52E+12,29.49603125,29.49603125,1859
1.52E+12,27.1360625,27.1360625,1737
1.52E+12,28.6160625,28.6160625,1856
1.52E+12,29.95209375,29.95209375,1890
1.52E+12,29.67209375,29.67209375,1927
1.52E+12,32.032125,32.032125,897
1.52E+12,31.192125,31.192125,1304
1.52E+12,32.38415625,32.38415625,1360
1.52E+12,33.22415625,33.22415625,1397
1.52E+12,35.6001875,35.6001875,1494
1.52E+12,35.79221875,35.79221875,1451
1.52E+12,34.48821875,34.48821875,1429
1.52E+12,32.02425,32.02425,1334
1.52E+12,30.20825,30.20825,1215
1.52E+12,29.10428125,29.10428125,1228
1.52E+12,31.44828125,31.44828125,1307
1.52E+12,31.9923125,31.9923125,1294
1.52E+12,30.2723125,30.2723125,1235
1.52E+12,26.2243125,26.2243125,1045
1.52E+12,22.72834375,22.72834375,919
1.52E+12,20.52034375,20.52034375,891
1.52E+12,16.85634375,16.85634375,897
1.52E+12,15.296375,15.296375,886
1.52E+12,16.144375,16.144375,931
1.52E+12,15.560375,15.560375,887
1.52E+12,16.000375,16.000375,882
1.52E+12,16.52040625,16.52040625,900
1.52E+12,12.55240625,12.55240625,902
1.52E+12,10.01640625,10.01640625,892
1.52E+12,13.36040625,13.36040625,1077
1.52E+12,17.6964375,17.6964375,761
1.52E+12,20.8804375,20.8804375,873
1.52E+12,22.8404375,22.8404375,972
1.52E+12,26.31246875,26.31246875,1126
1.52E+12,29.54446875,29.54446875,1242
1.52E+12,31.4885,31.4885,1302
1.52E+12,28.2645,28.2645,1113
1.52E+12,22.85653125,22.85653125,962
1.52E+12,25.58453125,25.58453125,1044
1.52E+12,26.8485625,26.8485625,1126
1.52E+12,26.0165625,26.0165625,1046
1.52E+12,24.6085625,24.6085625,1038
1.52E+12,26.28859375,26.28859375,1063
1.52E+12,24.21659375,24.21659375,1010
1.52E+12,24.016625,24.016625,959
1.52E+12,21.520625,21.520625,886
1.52E+12,17.528625,17.528625,894
1.52E+12,16.28065625,16.28065625,891
1.52E+12,17.02465625,17.02465625,842
1.52E+12,17.39265625,17.39265625,902
1.52E+12,19.44865625,19.44865625,904
1.52E+12,17.8006875,17.8006875,900
1.52E+12,18.3526875,18.3526875,901
1.52E+12,17.7686875,17.7686875,901
1.52E+12,18.98471875,18.98471875,898
1.52E+12,20.64071875,20.64071875,945
1.52E+12,22.80071875,22.80071875,900
1.52E+12,21.28875,21.28875,903
1.52E+12,22.49675,22.49675,899
1.52E+12,23.95275,23.95275,967
1.52E+12,26.50478125,26.50478125,1113
1.52E+12,28.36078125,28.36078125,1162
1.52E+12,27.4648125,27.4648125,1079
1.52E+12,26.0328125,26.0328125,863
1.52E+12,17.30484375,17.30484375,901
